"carat","cut","color","clarity","depth","table","price","x","y","z"
0.9,"Very Good","G","SI1",63,57,3681,6.13,6.19,3.88
1.51,"Very Good","H","SI1",60.6,59,10331,7.41,7.45,4.5
0.33,"Ideal","G","VVS1",60.9,57,838,4.49,4.51,2.74
0.3,"Premium","D","VS2",62.9,58,911,4.26,4.23,2.67
0.9,"Very Good","I","VS1",62.6,58,3844,6.09,6.15,3.83
0.31,"Premium","H","SI1",62.8,58,558,4.32,4.28,2.7
0.92,"Ideal","G","VS2",62,57,5989,6.21,6.24,3.86
0.28,"Very Good","E","VS1",59,60,452,4.26,4.32,2.53
0.31,"Ideal","D","SI1",61.8,56,732,4.37,4.34,2.69
0.7,"Good","F","VS2",62.6,61,2591,5.56,5.62,3.5
0.32,"Ideal","G","SI1",62.6,55,571,4.41,4.38,2.75
1.7,"Premium","D","SI1",61.9,59,15238,7.64,7.61,4.72
0.73,"Premium","G","I1",62.5,58,1395,5.82,5.74,3.61
1.2,"Premium","F","VS1",62.3,58,8580,6.78,6.71,4.2
0.51,"Very Good","F","VS2",63.1,59,1552,5.1,5.04,3.2
0.91,"Ideal","E","SI2",62.5,56,3774,6.16,6.19,3.86
1.03,"Very Good","F","SI2",63.3,59,3692,6.35,6.32,4.01
0.28,"Premium","G","VVS2",60.2,60,504,4.24,4.26,2.56
0.26,"Ideal","E","VVS2",61.6,57,597,4.13,4.18,2.56
0.71,"Very Good","E","VS2",62.4,57,2759,5.68,5.73,3.56
0.33,"Ideal","G","VVS2",61.7,55,730,4.46,4.49,2.76
0.72,"Ideal","G","VS2",61.7,57,2383,5.77,5.8,3.57
0.41,"Good","E","VVS1",63.5,57,1002,4.73,4.75,3.01
0.9,"Premium","G","SI1",62.6,57,4455,6.16,6.11,3.84
0.32,"Ideal","E","VS2",61.5,55,702,4.38,4.43,2.71
1.01,"Premium","E","VS2",58.1,60,6516,6.58,6.51,3.8
0.73,"Ideal","G","VS1",62,55,3342,5.74,5.79,3.58
0.31,"Ideal","G","VVS1",62.5,56,772,4.3,4.34,2.69
2.01,"Very Good","I","VS1",59.7,63,17751,8.24,8.15,4.89
1.09,"Ideal","H","SI1",61.4,57,5149,6.66,6.6,4.07
1.05,"Very Good","F","VVS2",61.3,59,8537,6.48,6.56,4
0.7,"Very Good","G","VS1",61.6,57,3127,5.69,5.73,3.52
1.15,"Very Good","H","SI1",60.9,57,5047,6.72,6.8,4.12
0.76,"Ideal","F","SI2",60.3,60,2624,5.86,5.89,3.54
1.02,"Very Good","G","SI1",63,55,4633,6.4,6.45,4.05
1.22,"Premium","H","SI1",62,58,6620,6.81,6.76,4.21
0.75,"Ideal","F","SI2",59.2,60,2248,5.87,5.92,3.49
0.32,"Premium","I","SI1",61.1,59,421,4.38,4.42,2.69
1.7,"Ideal","J","VS2",60.5,58,10002,7.73,7.74,4.68
1.26,"Very Good","G","SI1",63.2,61,7000,6.87,6.81,4.32
0.41,"Ideal","F","VS1",62,55,1007,4.77,4.81,2.97
1.03,"Ideal","G","SI2",61.7,55,4391,6.48,6.52,4.01
0.55,"Ideal","G","VS2",61.8,58,1659,5.23,5.26,3.24
2.23,"Very Good","G","I1",63.5,57,7006,8.24,8.2,5.22
1,"Premium","G","VS2",60.6,60,6048,6.4,6.3,3.85
0.6,"Good","J","VS1",58.9,60.5,1306,5.5,5.57,3.26
1.01,"Fair","G","SI1",64.2,59,4004,6.31,6.28,4.04
0.31,"Ideal","F","VVS1",61.2,57,878,4.42,4.4,2.7
1.04,"Very Good","E","SI1",62.8,59,5689,6.46,6.41,4.04
1,"Good","D","SI1",61.9,65,5005,6.31,6.36,3.92
0.77,"Ideal","J","VS2",61.4,55,2159,5.9,5.95,3.64
1.09,"Ideal","E","SI1",61.1,55,5935,6.66,6.7,4.08
1.5,"Very Good","H","VS1",63.3,59,9173,7.15,7.1,4.51
1.03,"Premium","D","SI1",60.5,61,5410,6.47,6.43,3.9
1.01,"Premium","H","SI1",61.3,58,4513,6.47,6.39,3.94
0.9,"Good","I","VVS1",62.4,61,3972,6.05,6.09,3.79
1.46,"Very Good","J","VS2",59.7,59,7358,7.36,7.39,4.4
0.31,"Good","E","SI1",63.5,55,544,4.31,4.35,2.75
1.01,"Ideal","E","SI1",62,56,5534,6.41,6.47,3.99
0.58,"Ideal","D","VVS1",60.6,57,3206,5.38,5.41,3.27
1.01,"Very Good","E","VVS1",63.1,57,10891,6.39,6.36,4.02
1.11,"Premium","F","VS2",63,56,6589,6.62,6.49,4.15
0.5,"Ideal","F","VVS2",62.2,54,2160,5.11,5.09,3.17
0.24,"Very Good","F","VS1",63,58,419,3.92,3.95,2.48
0.24,"Premium","I","VS1",62.5,57,355,3.97,3.94,2.47
0.53,"Ideal","I","VS2",62,55,1236,5.16,5.19,3.21
0.71,"Ideal","G","VVS2",62.5,57,3042,5.73,5.7,3.57
0.5,"Ideal","I","SI1",62,55,982,5.08,5.11,3.16
0.51,"Premium","E","SI2",59.5,60,1294,5.25,5.17,3.1
0.34,"Ideal","G","VS2",62.1,55,765,4.49,4.46,2.78
0.53,"Ideal","F","VS1",62.3,55,1812,5.18,5.22,3.24
0.3,"Ideal","H","VVS2",61.6,55,776,4.34,4.3,2.66
0.31,"Very Good","I","VS1",63.5,57,628,4.28,4.26,2.71
0.31,"Ideal","E","VS2",62.5,54,720,4.33,4.37,2.72
1.51,"Premium","J","VS2",62.8,59,7553,7.28,7.2,4.55
1.28,"Premium","G","VS2",61.4,58,8458,7,6.92,4.27
0.32,"Ideal","D","VS2",60.5,56,758,4.45,4.48,2.7
1,"Very Good","F","SI1",61.4,62,4851,6.32,6.36,3.89
0.32,"Ideal","D","VVS2",62.1,54,858,4.4,4.4,2.74
0.41,"Ideal","I","VVS1",61.3,56,863,4.8,4.85,2.96
1.51,"Very Good","I","VVS1",63,59,11088,7.24,7.3,4.58
1.31,"Ideal","I","SI2",63.6,55,5546,6.98,6.92,4.42
1.21,"Premium","G","VVS2",59.6,60,9370,6.89,6.91,4.11
0.35,"Premium","G","VVS2",62.4,56,1024,4.53,4.47,2.81
0.5,"Premium","G","VVS2",60.7,57,1935,5.14,5.1,3.11
0.56,"Ideal","G","VS2",61.9,55,1698,5.32,5.28,3.28
0.3,"Very Good","G","SI1",62.4,54,432,4.33,4.35,2.71
0.36,"Very Good","G","VVS2",61.7,56,753,4.56,4.58,2.82
1.34,"Ideal","D","I1",61.7,55,6303,7.12,7.08,4.38
1.01,"Ideal","E","SI1",60.8,56,6346,6.53,6.47,3.95
0.5,"Ideal","D","VS1",61.9,54,1792,5.1,5.14,3.17
0.4,"Very Good","I","VVS1",60.8,58,849,4.75,4.83,2.91
0.67,"Ideal","G","SI1",62.9,54,1809,5.63,5.6,3.53
0.91,"Fair","E","SI1",65,62,4256,6.09,6.04,3.94
0.5,"Ideal","D","VS2",61.7,53,1678,5.14,5.16,3.18
1.26,"Ideal","G","VVS1",61.7,56,11218,6.96,6.98,4.3
0.6,"Ideal","D","SI1",61.4,55,1698,5.43,5.45,3.34
0.34,"Ideal","G","VS2",62.2,57,765,4.47,4.44,2.77
1,"Premium","E","SI2",59.1,61,4077,6.44,6.39,3.79
1.71,"Fair","I","SI2",65.1,60,8800,7.5,7.46,4.87
0.75,"Very Good","H","SI2",61.9,56,2228,5.79,5.87,3.61
0.32,"Premium","I","VS1",62.6,58,648,4.4,4.38,2.75
1.5,"Premium","I","SI2",62.8,57,7715,7.34,7.25,4.58
0.34,"Ideal","D","IF",62.1,57,2346,4.52,4.46,2.79
2.08,"Premium","J","VS2",60.3,59,14933,8.29,8.23,4.98
0.96,"Premium","E","SI2",58.2,58,4462,6.52,6.47,3.78
1,"Good","E","VS1",63.6,59,7260,6.32,6.35,4.03
1.53,"Premium","E","SI1",61.3,59,12851,7.35,7.4,4.52
1.05,"Premium","F","SI2",61.7,60,4363,6.58,6.49,4.03
0.33,"Ideal","G","SI1",62.2,54,475,4.42,4.45,2.76
0.23,"Very Good","E","VVS1",62.4,54,583,3.95,3.98,2.47
0.58,"Ideal","I","VVS1",63,57,1758,5.34,5.29,3.35
0.3,"Ideal","D","VS2",62.2,54,710,4.28,4.31,2.67
0.4,"Ideal","H","VS1",61.1,57,815,4.74,4.78,2.91
0.45,"Ideal","E","VVS2",61.6,56,1817,4.96,4.98,3.06
0.3,"Ideal","E","SI1",61.9,57,526,4.29,4.33,2.67
1.02,"Ideal","F","VS1",61,56,8157,6.52,6.49,3.97
0.35,"Ideal","H","IF",60.5,56,984,4.59,4.56,2.77
0.51,"Ideal","D","VS1",61.6,57,1962,5.13,5.16,3.17
0.53,"Premium","D","VS2",61.5,58,1857,5.2,5.24,3.21
1,"Very Good","F","VVS2",63.2,56,8172,6.35,6.3,4
0.5,"Ideal","D","SI1",60.9,57,1563,5.11,5.13,3.12
0.51,"Very Good","E","SI2",58.3,61.9,1180,5.19,5.2,3.04
1.37,"Premium","E","VS1",59.4,60,12713,7.27,7.2,4.3
0.71,"Very Good","G","VS2",61.9,62,2671,5.69,5.72,3.53
0.32,"Very Good","F","VVS2",63.2,52,683,4.38,4.39,2.77
0.41,"Ideal","D","VS2",62.4,54,1076,4.78,4.74,2.97
0.34,"Ideal","E","VS2",62.1,54.1,758,4.47,4.5,2.78
0.5,"Very Good","E","VS2",60.2,60,1561,5.13,5.17,3.1
0.24,"Very Good","E","VVS1",62,60,485,3.96,4.01,2.47
2.06,"Premium","F","SI2",61.7,59,16857,8.21,8.13,5.04
0.76,"Good","I","SI1",64.3,60,2326,5.69,5.64,3.64
1.75,"Premium","H","SI1",61.4,59,13081,7.79,7.69,4.75
0.91,"Good","F","SI1",66.1,57,3893,5.99,6.03,3.97
1.15,"Premium","H","SI1",60.9,57,5139,6.8,6.72,4.12
1.01,"Very Good","H","VVS1",60.6,56,6733,6.5,6.53,3.95
0.32,"Ideal","D","SI1",60.8,57,589,4.41,4.44,2.69
0.5,"Very Good","E","VS1",62.6,57,1755,5.02,5.08,3.16
0.75,"Premium","F","VS2",59.6,59,2835,6.04,5.94,3.57
0.28,"Very Good","H","VVS2",62.7,54,522,4.16,4.19,2.61
2.45,"Ideal","F","SI2",62,55,16589,8.67,8.64,5.36
0.36,"Ideal","G","VVS1",60,56,892,4.66,4.69,2.81
1.01,"Premium","G","SI2",63,58,4038,6.34,6.29,3.98
1.06,"Premium","D","SI2",62.5,56,5393,6.61,6.47,4.09
0.26,"Ideal","E","VS1",62.1,56,556,4.09,4.12,2.55
0.6,"Good","F","SI1",63.7,61,1367,5.24,5.21,3.33
0.74,"Ideal","F","VS1",61.9,54,3590,5.78,5.82,3.59
1.02,"Premium","F","SI2",63,58,4398,6.43,6.37,4.03
0.41,"Good","E","VVS1",64.1,55,1228,4.68,4.71,3.01
1.22,"Very Good","H","I1",61.6,56,3663,6.8,6.87,4.21
1.5,"Fair","F","VS2",65.3,57,13853,7.15,7.12,4.66
0.24,"Ideal","G","VVS1",62.2,56,559,4,4.04,2.5
1.02,"Ideal","G","VS1",61.3,57,7324,6.48,6.51,3.98
1.1,"Premium","H","SI2",62.2,58,4620,6.69,6.6,4.13
1.01,"Very Good","F","SI1",63,57,4549,6.36,6.4,4.02
0.38,"Ideal","G","VVS2",62,57,879,4.64,4.66,2.89
1.02,"Ideal","D","SI1",62.1,53,4798,6.43,6.38,3.98
0.3,"Very Good","H","VVS2",63,56,605,4.23,4.28,2.68
0.41,"Very Good","G","VS2",61.4,59.2,813,4.76,4.78,2.93
0.45,"Good","G","VS1",64.1,58.8,1127,4.79,4.86,3.09
0.7,"Good","F","I1",63.8,60,1134,5.64,5.45,3.54
0.9,"Good","E","SI1",63.9,57,3795,6.12,6.08,3.9
0.38,"Good","E","VVS1",62.4,64,904,4.59,4.61,2.87
0.49,"Good","F","VS1",58.5,61.5,1294,5.18,5.21,3.04
0.7,"Good","D","VVS2",63.6,57,3312,5.61,5.58,3.56
0.33,"Ideal","J","VS1",62.1,55,557,4.44,4.41,2.75
1.09,"Fair","J","VS2",64.6,58,3443,6.48,6.41,4.16
2,"Premium","G","SI2",62.1,59,15897,8.12,8.02,5.01
0.34,"Very Good","H","VVS2",61,55,632,4.52,4.55,2.76
0.4,"Ideal","H","VVS1",62.2,55,1088,4.75,4.7,2.94
0.51,"Very Good","F","VS2",63.5,56,1574,5.09,5.05,3.22
0.7,"Very Good","H","VVS1",60.5,60,2788,5.74,5.77,3.48
0.73,"Ideal","G","SI1",62,54,2583,5.81,5.84,3.61
0.32,"Ideal","D","VS2",61.5,56,972,4.44,4.41,2.72
0.9,"Very Good","G","VS1",61.3,61,4515,6.15,6.25,3.8
2.2,"Very Good","H","SI2",63.3,57,11088,8.28,8.17,5.21
1.1,"Premium","E","SI2",59.1,60,4967,6.77,6.7,3.98
0.7,"Very Good","G","SI1",63.6,58,2209,5.61,5.65,3.58
0.33,"Ideal","H","SI2",61.3,55,433,4.48,4.49,2.75
0.91,"Fair","H","SI1",64.8,57,3180,6.12,6.07,3.95
0.56,"Ideal","I","VVS1",62,57,1580,5.29,5.33,3.29
1.05,"Ideal","F","SI1",60.6,59,5586,6.51,6.56,3.96
1.05,"Ideal","G","SI2",62.7,57,5127,6.45,6.51,4.06
1.12,"Premium","F","VVS2",62.4,59,10211,6.66,6.58,4.13
0.45,"Ideal","G","IF",61.7,55,1548,4.93,4.96,3.05
0.32,"Very Good","D","SI1",63.2,54,756,4.38,4.36,2.76
0.42,"Premium","E","SI1",62.8,59,992,4.78,4.74,2.99
0.55,"Ideal","F","VS1",60.5,57,2119,5.3,5.34,3.22
0.7,"Very Good","E","SI2",62.8,59,2453,5.64,5.69,3.56
1.01,"Very Good","I","VS1",59.7,58,4858,6.53,6.57,3.91
0.35,"Very Good","I","VS1",60.7,62,552,4.53,4.59,2.77
0.71,"Premium","H","VS1",59.1,61,2572,5.87,5.83,3.46
0.42,"Very Good","D","SI2",60,61,700,4.85,4.89,2.92
2,"Fair","H","SI2",65.9,58,12554,7.84,7.8,5.15
0.91,"Good","D","SI2",63.3,62,3660,6.01,6.09,3.83
0.55,"Ideal","E","SI1",60.7,57,1668,5.3,5.27,3.21
0.91,"Fair","H","SI1",64.4,60,3180,6.1,6.07,3.92
0.9,"Premium","I","VS2",61.9,59,2857,6.2,6.14,3.82
0.3,"Ideal","I","VS1",61,56,608,4.37,4.35,2.66
0.33,"Ideal","G","VS2",61.2,55,579,4.46,4.49,2.74
0.71,"Premium","E","VS2",59,59,2735,5.88,5.78,3.44
0.72,"Very Good","J","VVS2",63,59,2144,5.7,5.72,3.6
0.33,"Premium","H","IF",62.9,58,1010,4.43,4.38,2.77
1.2,"Good","J","VS2",63.7,58,4466,6.61,6.68,4.23
1.06,"Premium","I","SI1",61.9,59,4372,6.5,6.52,4.03
1.8,"Good","F","SI2",57.9,58,12196,8.08,8.13,4.69
0.31,"Ideal","G","VS2",61.8,57,698,4.36,4.34,2.69
0.32,"Ideal","E","SI2",62,55,576,4.41,4.36,2.72
1,"Premium","D","VVS2",63,59,9918,6.38,6.35,4.01
0.7,"Premium","H","VS1",60.2,56,2435,5.78,5.71,3.46
0.3,"Ideal","E","VVS2",61.1,55,837,4.34,4.37,2.66
1.5,"Good","G","VS2",63.7,57,10669,7.29,7.25,4.63
2.01,"Good","H","SI2",63.1,55,13849,7.99,8.09,5.07
0.54,"Ideal","E","VS1",62.6,55,1823,5.22,5.2,3.26
1.07,"Very Good","G","SI2",63.5,59,3655,6.52,6.46,4.12
