sample	chrom	start	end	nprobes	log2ratio
K562	chr1	23150001	23200000	58	0.26972
K562	chr1	23200001	23300000	25	0.17206
K562	chr1	23300001	23350000	22	0.20838
K562	chr1	23350001	23400000	56	0.22282
K562	chr1	23400001	23450000	53	0.1359
K562	chr1	23450001	23500000	36	0.20764
K562	chr1	23500001	23550000	39	0.20657
K562	chr1	23550001	23600000	63	0.28054
K562	chr1	23600001	23650000	24	0.21393
K562	chr1	23650001	23700000	30	0.21085
K562	chr1	23700001	23750000	28	0.24578
K562	chr1	23750001	23800000	65	0.21297
K562	chr1	23800001	23850000	51	0.27606
K562	chr1	23850001	23900000	37	0.1833
K562	chr1	23900001	23950000	33	0.27494
K562	chr1	23950001	24050000	67	0.19815
K562	chr1	24050001	24100000	32	0.07036
K562	chr1	24100001	24150000	35	0.12607
K562	chr1	24150001	24300000	72	0.13333
K562	chr1	24300001	24350000	56	0.13005
K562	chr1	24350001	24400000	31	0.16865
K562	chr1	24400001	24500000	76	0.15573
K562	chr1	24500001	24550000	52	0.17921
K562	chr1	24550001	24600000	36	0.09809
K562	chr1	24600001	24650000	27	0.17931
K562	chr1	24650001	24700000	24	0.25339
K562	chr1	24700001	24850000	75	0.22622
K562	chr1	24850001	24900000	20	0.12605
K562	chr1	24900001	24950000	82	0.2986
K562	chr1	24950001	25000000	53	0.17713
K562	chr1	25000001	25050000	32	0.19263
K562	chr1	25050001	25100000	26	0.07777
K562	chr1	25100001	25200000	37	0.16285
K562	chr1	25200001	25300000	68	0.248
K562	chr1	25300001	25400000	25	0.25663
K562	chr1	25400001	25500000	37	0.27274
K562	chr1	25500001	25550000	41	0.24922
K562	chr1	25550001	25600000	44	0.24679
K562	chr1	25600001	25650000	37	0.36679
K562	chr1	25650001	25700000	37	0.10391
K562	chr1	25700001	25750000	30	0.2562
K562	chr1	25750001	25800000	41	0.27367
K562	chr1	25800001	25850000	65	0.25622
K562	chr1	25850001	25900000	53	0.23714
K562	chr1	25900001	25950000	57	0.25739
K562	chr1	25950001	26000000	30	0.27796
K562	chr1	26000001	26050000	62	0.21269
K562	chr1	26050001	26100000	28	0.20412
K562	chr1	26100001	26150000	29	0.22244
K562	chr1	26150001	26200000	73	0.2608
K562	chr1	26200001	26250000	43	0.27016
K562	chr1	26250001	26300000	43	0.25301
K562	chr1	26300001	26350000	71	0.22236
K562	chr1	26350001	26400000	45	0.24468
K562	chr1	26400001	26450000	50	0.30909
K562	chr1	26450001	26500000	37	0.2815
K562	chr1	26500001	26550000	44	0.31821
K562	chr1	26550001	26650000	50	0.23661
K562	chr1	26650001	26700000	25	0.24548
K562	chr1	26700001	26750000	28	0.29938
K562	chr1	26750001	26800000	72	0.1995
K562	chr1	26800001	26850000	30	0.27302
K562	chr1	26850001	26900000	75	0.26256
K562	chr1	26900001	26950000	57	0.2374
K562	chr1	26950001	27000000	49	0.2236
K562	chr1	27000001	27100000	62	0.21271
K562	chr1	27100001	27150000	41	0.20268
K562	chr1	27150001	27200000	25	0.28711
K562	chr1	27200001	27250000	26	0.21826
K562	chr1	27250001	27300000	20	0.28886
K562	chr1	27300001	27350000	64	0.28215
K562	chr1	27350001	27400000	100	0.23358
K562	chr1	27400001	27450000	25	0.21977
K562	chr1	27450001	27500000	31	0.2334
K562	chr1	27500001	27550000	56	0.2001
K562	chr1	27550001	27600000	42	0.30415
K562	chr1	27600001	27650000	65	0.27928
K562	chr1	27650001	27800000	81	0.27614
K562	chr1	27800001	27850000	33	0.2309
K562	chr1	27850001	27900000	38	0.22633
K562	chr1	27900001	27950000	40	0.27192
K562	chr1	27950001	28050000	45	0.28649
K562	chr1	28050001	28100000	36	0.20321
K562	chr1	28100001	28150000	31	0.2581
K562	chr1	28150001	28200000	35	0.33163
K562	chr1	28200001	28250000	44	0.34516
K562	chr1	28250001	28300000	32	0.24241
K562	chr1	28300001	28350000	29	0.24156
K562	chr1	28350001	28400000	27	0.27794
K562	chr1	28400001	28500000	33	0.28395
K562	chr1	28500001	28550000	63	0.27234
K562	chr1	28550001	28600000	53	0.24689
K562	chr1	28600001	28650000	43	0.26315
K562	chr1	28650001	28700000	23	0.3081
K562	chr1	28700001	28750000	34	0.24784
K562	chr1	28750001	28850000	38	0.13706
K562	chr1	28850001	28950000	71	0.25004
K562	chr1	28950001	29100000	21	0.23275
K562	chr1	29100001	29150000	53	0.22012
K562	chr1	29150001	29200000	39	0.22144
K562	chr1	29200001	29250000	68	0.20902
K562	chr1	29250001	29300000	39	0.17589
K562	chr1	29300001	29350000	24	0.11047
K562	chr1	29350001	29450000	38	0.07037
K562	chr1	29450001	29552233	37	0.14563
K562	chr1	29553836	29700000	40	0.08106
K562	chr1	29700001	29900000	44	0.10015
K562	chr1	29900001	30100000	41	0.08208
K562	chr1	30100001	30250000	32	0.11954
K562	chr1	30250001	30400000	28	-0.03981
K562	chr1	30400001	30650000	37	0.13355
K562	chr1	30650001	30700000	27	0.13467
K562	chr1	30700001	30750000	52	0.22536
K562	chr1	30750001	30800000	42	0.23787
K562	chr1	30800001	30850000	42	0.23801
K562	chr1	30850001	30900000	34	0.20021
K562	chr1	30900001	30950000	36	0.1527
K562	chr1	30950001	31050000	48	0.13544
K562	chr1	31050001	31150000	36	0.35116
K562	chr1	31150001	31200000	36	0.18668
K562	chr1	31200001	31250000	27	0.13463
K562	chr1	31250001	31350000	37	0.20354
K562	chr1	31350001	31400000	29	0.19892
K562	chr1	31400001	31500000	66	0.21083
K562	chr1	31500001	31550000	22	0.12348
K562	chr1	31550001	31600000	55	0.20377
K562	chr1	31600001	31650000	57	0.27005
K562	chr1	31650001	31700000	46	0.05555
K562	chr1	31700001	31750000	57	0.20333
K562	chr1	31750001	31800000	83	0.2333
K562	chr1	31800001	31850000	24	0.21458
K562	chr1	31850001	31900000	20	0.27292
K562	chr1	31900001	32000000	61	0.22405
K562	chr1	32000001	32050000	28	0.23742
K562	chr1	32050001	32100000	22	0.33339
K562	chr1	32100001	32150000	38	0.23012
K562	chr1	32150001	32200000	35	0.21312
K562	chr1	32200001	32250000	102	0.23668
K562	chr1	32250001	32300000	58	0.28648
K562	chr1	32300001	32350000	46	0.2032
K562	chr1	32350001	32450000	67	0.20065
K562	chr1	32450001	32500000	28	0.29151
K562	chr1	32500001	32650000	33	0.37105
K562	chr1	32650001	32700000	29	0.20774
K562	chr1	32700001	32750000	42	0.24877
K562	chr1	32750001	32800000	58	0.23321
K562	chr1	32800001	32850000	32	0.31494
K562	chr1	32850001	32900000	58	0.2133
K562	chr1	32900001	32950000	30	0.24764
K562	chr1	32950001	33000000	43	0.23461
K562	chr1	33000001	33050000	43	0.2236
K562	chr1	33050001	33100000	41	0.1993
K562	chr1	33100001	33150000	30	0.25903
K562	chr1	33150001	33250000	68	0.19033
K562	chr1	33250001	33300000	43	0.31523
K562	chr1	33300001	33350000	48	0.16343
K562	chr1	33350001	33400000	52	0.08896
K562	chr1	33400001	33450000	25	0.1095
K562	chr1	33450001	33600000	52	0.21191
K562	chr1	33600001	33700000	41	0.06642
K562	chr1	33700001	33850000	21	0.04638
K562	chr1	33850001	34150000	57	0.02669
K562	chr1	34150001	34650000	91	0.13178
K562	chr1	34650001	34750000	21	0.11804
K562	chr1	34750001	34850000	94	0.08715
K562	chr1	34850001	34900000	62	0.20469
K562	chr1	34900001	34950000	23	0.13867
K562	chr1	34950001	35000000	34	0.23488
K562	chr1	35000001	35050000	24	0.26822
K562	chr1	35050001	35150000	38	0.22644
K562	chr1	35150001	35250000	51	0.22834
K562	chr1	35250001	35400000	35	0.24171
K562	chr1	35400001	35450000	20	0.1805
K562	chr1	35450001	35550000	31	0.2014
K562	chr1	35550001	35600000	77	0.24703
K562	chr1	35600001	35700000	28	0.21498
K562	chr1	35700001	35750000	41	0.26863
K562	chr1	35750001	35850000	40	0.33449
K562	chr1	35850001	35900000	31	0.35098
K562	chr1	35900001	36050000	33	0.30382
K562	chr1	36050001	36100000	33	0.26404
K562	chr1	36100001	36150000	50	0.26509
K562	chr1	36150001	36200000	58	0.26975
K562	chr1	36200001	36300000	44	0.25496
K562	chr1	36300001	36350000	71	0.23531
K562	chr1	36350001	36400000	60	0.22858
K562	chr1	36400001	36450000	26	0.20654
K562	chr1	36450001	36550000	89	0.27464
K562	chr1	36550001	36600000	20	0.15773
K562	chr1	36600001	36800000	52	0.1036
K562	chr1	36800001	36850000	23	0.09881
K562	chr1	36850001	37000000	49	-0.01357
K562	chr1	37000001	37050000	29	0.11989
K562	chr1	37050001	37300000	37	0.06902
K562	chr1	37300001	37450000	45	0.10272
K562	chr1	37450001	37500000	61	0.30381
K562	chr1	37500001	37550000	32	0.2148
K562	chr1	37550001	37600000	61	0.22434
K562	chr1	37600001	37650000	29	0.22844
K562	chr1	37650001	37700000	45	0.16089
K562	chr1	37700001	37750000	29	0.06716
K562	chr1	37750001	37800000	63	0.21202
K562	chr1	37800001	37850000	45	0.23878
K562	chr1	37850001	37900000	35	0.26683
K562	chr1	37900001	37950000	32	0.21181
K562	chr1	37950001	38000000	39	0.18468
K562	chr1	38000001	38050000	80	0.23208
K562	chr1	38050001	38100000	33	0.207
K562	chr1	38100001	38200000	34	0.14616
K562	chr1	38200001	38250000	31	0.23739
K562	chr1	38250001	38450000	31	0.09343
K562	chr1	38450001	38550000	41	0.20455
K562	chr1	38550001	38700000	35	0.11746
K562	chr1	38700001	38800000	28	0.13464
K562	chr1	38800001	38850000	33	0.37752
K562	chr1	38850001	38900000	50	0.2281
K562	chr1	38900001	38950000	24	0.2305
K562	chr1	38950001	39000000	27	0.26252
K562	chr1	39000001	39050000	28	0.21929
K562	chr1	39050001	39100000	34	0.21115
K562	chr1	39100001	39150000	29	0.1969
K562	chr1	39150001	39250000	42	0.32764
K562	chr1	39250001	39300000	21	0.26659
K562	chr1	39300001	39400000	34	0.15704
K562	chr1	39400001	39450000	32	0.20273
K562	chr1	39450001	39500000	39	0.20395
K562	chr1	39500001	39550000	21	0.27165
K562	chr1	39550001	39600000	56	0.18024
K562	chr1	39600001	39650000	32	0.2123
K562	chr1	39650001	39700000	60	0.16882
K562	chr1	39700001	39750000	29	0.24057
K562	chr1	39750001	39850000	52	0.26694
K562	chr1	39850001	39900000	34	0.22805
K562	chr1	39900001	39950000	34	0.25502
K562	chr1	39950001	40000000	48	0.28589
K562	chr1	40000001	40050000	32	0.26179
K562	chr1	40050001	40150000	56	0.20737
K562	chr1	40150001	40250000	38	0.24537
K562	chr1	40250001	40300000	33	0.24644
K562	chr1	40300001	40350000	41	0.30507
K562	chr1	40350001	40400000	34	0.23632
K562	chr1	40400001	40450000	24	0.16311
K562	chr1	40450001	40500000	29	0.29277
K562	chr1	40500001	40650000	67	0.29066
K562	chr1	40650001	40700000	58	0.26752
K562	chr1	40700001	40750000	27	0.20731
K562	chr1	40750001	40800000	50	0.18669
K562	chr1	40800001	40850000	47	0.21582
K562	chr1	40850001	40950000	58	0.22523
K562	chr1	40950001	41000000	43	0.23824
K562	chr1	41000001	41150000	67	0.21979
K562	chr1	41150001	41200000	20	0.19715
K562	chr1	41200001	41250000	21	0.23947
K562	chr1	41250001	41350000	28	0.1658
K562	chr1	41350001	41400000	53	0.16532
K562	chr1	41400001	41450000	35	0.08862
K562	chr1	41450001	41500000	43	0.09085
K562	chr1	41500001	41600000	58	0.16647
K562	chr1	41600001	41650000	24	0.15005
K562	chr1	41650001	41700000	31	0.06608
K562	chr1	41700001	41750000	34	0.14846
K562	chr1	41750001	41850000	37	0.06203
K562	chr1	41850001	41900000	32	0.13003
K562	chr1	41900001	42000000	28	0.11683
K562	chr1	42000001	42150000	46	0.10242
K562	chr1	42150001	42200000	47	0.02305
K562	chr1	42200001	42300000	23	0.17193
K562	chr1	42300001	42350000	41	0.13834
K562	chr1	42350001	42450000	29	0.28632
K562	chr1	42450001	42650000	57	0.22677
K562	chr1	42650001	42700000	47	0.22523
K562	chr1	42700001	42750000	37	0.23142
K562	chr1	42750001	42800000	55	0.23113
K562	chr1	42800001	42900000	79	0.2234
K562	chr1	42900001	42950000	26	0.23299
K562	chr1	42950001	43000000	39	0.21291
K562	chr1	43000001	43050000	25	0.17439
K562	chr1	43050001	43150000	42	0.33026
K562	chr1	43150001	43200000	40	0.14851
K562	chr1	43200001	43250000	21	0.19667
K562	chr1	43250001	43300000	37	0.11835
K562	chr1	43300001	43350000	59	0.15394
K562	chr1	43350001	43400000	86	0.22511
K562	chr1	43400001	43450000	33	0.23104
K562	chr1	43450001	43500000	30	0.19696
K562	chr1	43500001	43550000	45	0.17531
K562	chr1	43550001	43600000	60	0.16355
K562	chr1	43600001	43650000	40	0.20297
K562	chr1	43650001	43700000	24	0.16346
K562	chr1	43700001	43750000	36	0.21061
K562	chr1	43750001	43900000	57	0.20981
K562	chr1	43900001	43950000	60	0.24848
K562	chr1	43950001	44000000	116	0.22407
K562	chr1	44000001	44100000	71	0.18836
K562	chr1	44100001	44200000	33	0.15546
K562	chr1	44200001	44250000	47	0.20502
